height,gender
173,F
163,F
160,F
148,F
160,F
165,F
144,F
163,F
167,F
170,F
171,F
171,F
161,F
173,F
150,F
172,F
176,F
174,F
151,F
157,F
152,F
168,F
161,F
171,F
152,F
157,F
170,F
162,F
168,F
162,F
156,F
166,F
162,F
159,F
175,F
156,F
156,F
158,F
177,F
157,F
165,F
158,F
168,F
163,F
154,F
149,F
158,F
165,F
150,F
161,F
166,F
170,F
159,F
161,F
154,F
167,F
169,F
160,F
172,F
154,F
154,F
158,F
164,F
165,F
157,F
169,F
168,F
162,F
158,F
143,F
182,F
161,F
153,F
171,F
161,F
158,F
165,F
150,F
157,F
160,F
171,F
174,F
165,F
172,F
175,F
154,F
166,F
159,F
169,F
168,F
164,F
161,F
160,F
163,F
162,F
164,F
172,F
153,F
171,F
157,F
178,F
159,F
169,F
167,F
159,F
169,F
167,F
161,F
157,F
150,F
159,F
165,F
160,F
170,F
160,F
168,F
174,F
160,F
160,F
160,F
152,F
149,F
157,F
152,F
158,F
174,F
172,F
159,F
162,F
168,F
160,F
160,F
160,F
160,F
176,F
143,F
176,F
151,F
166,F
152,F
157,F
165,F
167,F
160,F
156,F
163,F
149,F
164,F
155,F
156,F
153,F
164,F
163,F
183,F
163,F
166,F
156,F
169,F
163,F
156,F
171,F
165,F
147,F
175,F
161,F
183,F
169,F
155,F
161,F
160,F
169,F
184,F
167,F
157,F
162,F
168,F
166,F
161,F
169,F
167,F
151,F
174,F
169,F
168,F
162,F
162,F
171,F
166,F
160,F
166,F
154,F
159,F
159,F
167,F
161,F
160,F
170,F
178,F
168,F
167,F
166,F
162,F
171,F
156,F
180,F
155,F
169,F
178,F
166,F
156,F
167,F
175,F
168,F
155,F
150,F
161,F
160,F
156,F
159,F
176,F
158,F
178,F
156,F
164,F
154,F
163,F
155,F
155,F
165,F
169,F
152,F
154,F
159,F
156,F
162,F
160,F
155,F
167,F
166,F
157,F
151,F
154,F
159,F
156,F
158,F
186,F
165,F
171,F
155,F
168,F
160,F
160,F
165,F
176,F
153,F
163,F
159,F
155,F
167,F
154,F
152,F
158,F
147,F
160,F
168,F
167,F
159,F
168,F
153,F
161,F
154,F
169,F
151,F
165,F
168,F
170,F
170,F
151,F
153,F
168,F
166,F
175,F
156,F
171,F
161,F
158,F
167,F
174,F
161,F
176,F
164,F
173,F
160,F
157,F
169,F
156,F
156,F
159,F
172,F
164,F
154,F
170,F
163,F
154,F
164,F
162,F
167,F
161,F
169,F
169,F
166,F
153,F
163,F
159,F
155,F
165,F
168,F
178,F
153,F
162,F
172,F
167,F
156,F
160,F
149,F
141,F
157,F
162,F
165,F
161,F
147,F
158,F
158,F
151,F
153,F
170,F
166,F
158,F
152,F
153,F
161,F
162,F
163,F
158,F
164,F
150,F
153,F
162,F
166,F
156,F
167,F
168,F
164,F
154,F
153,F
147,F
152,F
148,F
160,F
165,F
167,F
160,F
170,F
177,F
161,F
163,F
152,F
164,F
164,F
163,F
170,F
156,F
169,F
178,F
157,F
166,F
164,F
159,F
166,F
156,F
156,F
163,F
165,F
154,F
151,F
159,F
167,F
152,F
157,F
174,F
158,F
166,F
165,F
166,F
170,F
160,F
166,F
162,F
171,F
158,F
160,F
168,F
153,F
172,F
162,F
150,F
163,F
169,F
158,F
176,F
159,F
177,F
164,F
157,F
176,F
173,F
166,F
147,F
160,F
157,F
172,F
166,F
174,F
163,F
157,F
166,F
168,F
157,F
149,F
168,F
172,F
157,F
149,F
151,F
168,F
168,F
172,F
146,F
166,F
172,F
155,F
143,F
157,F
166,F
155,F
160,F
171,F
166,F
156,F
148,F
172,F
155,F
160,F
164,F
149,F
162,F
162,F
174,F
160,F
169,F
174,F
172,F
170,F
161,F
154,F
166,F
162,F
160,F
173,F
143,F
160,F
156,F
184,F
160,F
160,F
163,F
152,F
161,F
170,F
156,F
168,F
159,F
172,F
162,F
157,F
161,F
158,F
158,F
152,F
166,F
162,F
163,F
162,F
145,F
156,F
171,F
163,F
161,F
158,F
173,F
157,F
163,F
170,F
161,F
164,F
159,F
165,F
152,F
170,F
164,F
156,F
168,F
177,F
163,F
153,F
155,F
151,F
167,F
168,F
161,F
159,F
173,F
157,F
159,F
170,F
161,F
159,F
159,F
173,F
165,F
166,F
173,F
169,F
166,F
167,F
167,F
167,F
165,F
163,F
146,F
156,F
164,F
156,F
157,F
156,F
167,F
161,F
163,F
156,F
164,F
169,F
157,F
157,F
171,F
173,F
172,F
155,F
170,F
165,F
169,F
156,F
153,F
158,F
145,F
160,F
160,F
174,F
162,F
160,F
164,F
163,F
149,F
159,F
159,F
170,F
157,F
166,F
153,F
162,F
157,F
157,F
162,F
159,F
174,F
157,F
155,F
147,F
166,F
160,F
171,F
148,F
159,F
148,F
162,F
163,F
161,F
167,F
168,F
174,F
161,F
169,F
147,F
164,F
163,F
154,F
162,F
166,F
159,F
173,F
155,F
156,F
163,F
150,F
171,F
169,F
166,F
158,F
158,F
154,F
166,F
167,F
158,F
156,F
141,F
163,F
167,F
156,F
161,F
160,F
159,F
169,F
163,F
171,F
180,F
161,F
158,F
163,F
163,F
152,F
161,F
150,F
162,F
180,F
160,F
156,F
161,F
167,F
159,F
166,F
158,F
163,F
175,F
157,F
155,F
160,F
154,F
169,F
148,F
170,F
175,F
161,F
170,F
160,F
177,F
161,F
163,F
164,F
173,F
166,F
155,F
168,F
175,F
168,F
169,F
168,F
163,F
161,F
156,F
154,F
163,F
164,F
174,F
165,F
162,F
166,F
158,F
167,F
150,F
153,F
162,F
181,F
168,F
162,F
155,F
168,F
181,F
164,F
170,F
164,F
173,F
150,F
179,F
154,F
162,F
150,F
145,F
166,F
157,F
160,F
169,F
166,F
165,F
170,F
157,F
150,F
169,F
157,F
155,F
165,F
169,F
177,F
161,F
160,F
162,F
162,F
156,F
165,F
163,F
161,F
157,F
165,F
153,F
144,F
163,F
168,F
143,F
150,F
167,F
150,F
170,F
168,F
156,F
159,F
155,F
155,F
162,F
158,F
147,F
170,F
145,F
161,F
149,F
158,F
151,F
175,F
160,F
154,F
161,F
163,F
167,F
170,F
159,F
174,F
156,F
164,F
171,F
153,F
168,F
178,F
160,F
164,F
170,F
154,F
170,F
170,F
155,F
176,F
155,F
167,F
160,F
159,F
155,F
162,F
156,F
158,F
165,F
157,F
166,F
159,F
159,F
158,F
173,F
168,F
162,F
158,F
153,F
174,F
150,F
164,F
170,F
161,F
159,F
154,F
169,F
154,F
166,F
159,F
165,F
154,F
157,F
158,F
156,F
160,F
161,F
147,F
170,F
158,F
178,F
162,F
161,F
160,F
154,F
155,F
153,F
167,F
155,F
155,F
174,F
146,F
165,F
164,F
150,F
152,F
161,F
157,F
166,F
163,F
164,F
151,F
167,F
162,F
166,F
149,F
160,F
159,F
172,F
164,F
166,F
163,F
165,F
154,F
153,F
164,F
161,F
160,F
165,F
167,F
172,F
169,F
165,F
169,F
162,F
163,F
143,F
148,F
164,F
169,F
162,F
161,F
164,F
162,F
175,F
165,F
163,F
158,F
165,F
172,F
163,F
153,F
160,F
153,F
160,F
161,F
147,F
152,F
167,F
169,F
164,F
161,F
159,F
153,F
165,F
161,F
142,F
167,F
169,F
161,F
159,F
156,F
174,F
154,F
160,F
172,F
158,F
156,F
157,F
147,F
176,F
170,F
164,F
157,F
157,F
154,F
169,F
173,F
150,F
151,F
160,F
158,F
162,F
158,F
178,F
162,F
173,F
174,F
176,F
156,F
171,F
152,F
154,F
167,F
157,F
161,F
150,F
161,F
177,F
156,F
170,F
158,F
169,F
149,F
167,F
165,F
155,F
156,F
180,F
169,F
160,F
148,F
160,F
170,F
164,F
166,F
160,F
164,F
169,F
174,F
147,F
167,F
162,F
157,F
156,F
161,F
156,F
163,F
166,F
173,F
173,F
161,F
165,F
155,F
157,F
149,F
148,F
163,F
171,F
179,F
167,F
167,F
177,F
171,F
161,F
157,F
175,F
175,F
154,F
164,F
167,F
172,F
160,F
159,F
161,F
161,F
169,F
156,F
154,F
178,F
154,F
161,F
163,F
185,M
168,M
169,M
171,M
181,M
164,M
169,M
192,M
174,M
169,M
167,M
169,M
191,M
166,M
181,M
174,M
158,M
174,M
178,M
181,M
177,M
176,M
190,M
163,M
176,M
158,M
180,M
171,M
161,M
175,M
187,M
175,M
189,M
159,M
200,M
173,M
175,M
182,M
184,M
195,M
173,M
164,M
184,M
178,M
196,M
179,M
172,M
175,M
171,M
185,M
177,M
172,M
178,M
169,M
176,M
177,M
163,M
177,M
193,M
175,M
179,M
170,M
177,M
181,M
178,M
188,M
178,M
173,M
177,M
178,M
192,M
162,M
187,M
187,M
170,M
178,M
180,M
181,M
181,M
180,M
175,M
175,M
167,M
165,M
179,M
167,M
180,M
187,M
155,M
178,M
171,M
200,M
198,M
172,M
155,M
165,M
171,M
173,M
155,M
175,M
169,M
181,M
177,M
170,M
158,M
174,M
176,M
178,M
173,M
154,M
173,M
160,M
166,M
162,M
188,M
192,M
164,M
184,M
183,M
182,M
151,M
180,M
180,M
196,M
165,M
161,M
189,M
173,M
177,M
167,M
166,M
160,M
180,M
154,M
175,M
193,M
179,M
170,M
188,M
176,M
159,M
166,M
187,M
177,M
172,M
177,M
180,M
175,M
185,M
174,M
170,M
179,M
182,M
182,M
176,M
178,M
178,M
178,M
173,M
172,M
178,M
154,M
178,M
179,M
160,M
160,M
171,M
187,M
183,M
178,M
172,M
167,M
163,M
164,M
174,M
178,M
170,M
182,M
147,M
160,M
175,M
166,M
197,M
169,M
197,M
171,M
171,M
158,M
175,M
189,M
178,M
174,M
170,M
184,M
175,M
164,M
183,M
165,M
168,M
171,M
176,M
165,M
174,M
167,M
179,M
169,M
174,M
158,M
187,M
179,M
176,M
165,M
190,M
176,M
159,M
177,M
161,M
181,M
175,M
186,M
156,M
181,M
178,M
177,M
171,M
184,M
182,M
180,M
161,M
172,M
171,M
165,M
173,M
189,M
168,M
172,M
180,M
172,M
172,M
189,M
156,M
189,M
184,M
178,M
171,M
163,M
156,M
180,M
166,M
174,M
160,M
168,M
182,M
156,M
167,M
170,M
179,M
177,M
174,M
181,M
185,M
165,M
179,M
186,M
167,M
181,M
174,M
165,M
180,M
183,M
172,M
194,M
159,M
185,M
161,M
183,M
163,M
159,M
169,M
162,M
166,M
193,M
174,M
177,M
175,M
166,M
171,M
193,M
180,M
167,M
155,M
163,M
156,M
171,M
196,M
179,M
193,M
174,M
169,M
196,M
198,M
166,M
184,M
174,M
181,M
204,M
171,M
164,M
169,M
148,M
164,M
175,M
159,M
188,M
164,M
182,M
184,M
181,M
188,M
166,M
165,M
190,M
170,M
177,M
163,M
180,M
158,M
176,M
180,M
172,M
169,M
179,M
162,M
170,M
179,M
169,M
181,M
172,M
191,M
185,M
179,M
167,M
188,M
180,M
166,M
181,M
194,M
170,M
171,M
171,M
168,M
173,M
181,M
183,M
179,M
170,M
179,M
183,M
175,M
187,M
185,M
193,M
158,M
170,M
167,M
176,M
188,M
180,M
166,M
182,M
169,M
165,M
174,M
174,M
179,M
190,M
183,M
170,M
191,M
185,M
177,M
168,M
187,M
196,M
182,M
170,M
162,M
180,M
181,M
191,M
163,M
167,M
172,M
184,M
190,M
173,M
193,M
170,M
181,M
184,M
190,M
176,M
190,M
173,M
179,M
186,M
175,M
168,M
178,M
172,M
168,M
162,M
181,M
170,M
184,M
167,M
171,M
170,M
187,M
174,M
185,M
172,M
179,M
185,M
185,M
181,M
181,M
177,M
189,M
164,M
193,M
165,M
169,M
173,M
175,M
175,M
175,M
155,M
166,M
186,M
186,M
182,M
170,M
188,M
167,M
179,M
192,M
165,M
173,M
188,M
172,M
151,M
176,M
177,M
178,M
169,M
179,M
193,M
172,M
167,M
176,M
159,M
170,M
186,M
165,M
177,M
182,M
179,M
169,M
156,M
173,M
175,M
182,M
172,M
179,M
176,M
167,M
149,M
167,M
167,M
162,M
192,M
175,M
177,M
181,M
177,M
179,M
191,M
180,M
159,M
199,M
175,M
179,M
162,M
187,M
183,M
178,M
172,M
180,M
191,M
153,M
183,M
166,M
184,M
176,M
185,M
168,M
177,M
165,M
175,M
170,M
190,M
176,M
183,M
182,M
168,M
175,M
176,M
183,M
175,M
185,M
198,M
178,M
191,M
175,M
178,M
186,M
178,M
172,M
168,M
178,M
161,M
160,M
172,M
177,M
186,M
178,M
186,M
167,M
181,M
184,M
187,M
167,M
192,M
157,M
173,M
172,M
176,M
157,M
179,M
169,M
177,M
184,M
170,M
140,M
172,M
192,M
173,M
166,M
178,M
173,M
185,M
189,M
169,M
176,M
162,M
168,M
184,M
168,M
173,M
180,M
170,M
172,M
169,M
166,M
171,M
181,M
159,M
178,M
174,M
186,M
169,M
160,M
160,M
178,M
175,M
180,M
167,M
175,M
164,M
178,M
184,M
196,M
169,M
191,M
179,M
174,M
163,M
175,M
155,M
182,M
201,M
167,M
186,M
177,M
178,M
162,M
157,M
175,M
175,M
170,M
177,M
164,M
206,M
194,M
164,M
175,M
185,M
171,M
179,M
183,M
177,M
173,M
167,M
170,M
188,M
177,M
177,M
163,M
168,M
174,M
197,M
177,M
169,M
197,M
162,M
183,M
188,M
175,M
148,M
184,M
176,M
161,M
189,M
176,M
177,M
150,M
153,M
136,M
183,M
186,M
183,M
188,M
169,M
177,M
192,M
162,M
169,M
163,M
191,M
170,M
162,M
181,M
168,M
185,M
184,M
182,M
165,M
176,M
186,M
166,M
164,M
171,M
184,M
199,M
171,M
174,M
184,M
181,M
174,M
174,M
180,M
175,M
159,M
171,M
165,M
170,M
183,M
166,M
173,M
170,M
181,M
184,M
162,M
180,M
175,M
182,M
178,M
169,M
173,M
176,M
171,M
191,M
181,M
178,M
187,M
177,M
171,M
192,M
186,M
155,M
168,M
170,M
157,M
162,M
162,M
160,M
180,M
167,M
176,M
163,M
166,M
178,M
171,M
174,M
173,M
179,M
176,M
182,M
177,M
180,M
175,M
180,M
182,M
172,M
187,M
188,M
168,M
176,M
172,M
171,M
176,M
156,M
167,M
160,M
197,M
166,M
162,M
167,M
169,M
168,M
165,M
177,M
185,M
169,M
177,M
173,M
182,M
178,M
176,M
174,M
184,M
166,M
167,M
198,M
168,M
169,M
185,M
171,M
194,M
160,M
178,M
153,M
161,M
189,M
182,M
176,M
167,M
176,M
185,M
171,M
176,M
171,M
173,M
161,M
176,M
172,M
194,M
176,M
176,M
189,M
168,M
177,M
177,M
184,M
195,M
167,M
182,M
170,M
181,M
156,M
170,M
157,M
164,M
170,M
179,M
158,M
178,M
169,M
197,M
169,M
172,M
191,M
169,M
186,M
160,M
179,M
166,M
166,M
166,M
179,M
159,M
169,M
164,M
172,M
182,M
194,M
179,M
194,M
177,M
164,M
178,M
167,M
181,M
168,M
188,M
168,M
180,M
182,M
184,M
172,M
166,M
185,M
177,M
173,M
172,M
163,M
163,M
178,M
183,M
190,M
177,M
171,M
184,M
162,M
186,M
181,M
187,M
180,M
164,M
170,M
179,M
174,M
181,M
177,M
182,M
172,M
158,M
174,M
162,M
178,M
168,M
181,M
185,M
175,M
183,M
164,M
182,M
189,M
175,M
169,M
167,M
170,M
181,M
186,M
185,M
168,M
176,M
157,M
191,M
184,M
171,M
166,M
170,M
189,M
178,M
186,M
170,M
173,M
169,M
185,M
175,M
164,M
171,M
200,M
187,M
176,M
188,M
191,M
174,M
147,M
167,M
188,M
181,M
176,M
197,M
181,M
183,M
170,M
183,M
165,M
144,M
192,M
189,M
181,M
184,M
177,M
167,M
172,M
161,M
180,M
161,M
179,M
181,M
160,M
166,M
189,M
183,M
165,M
169,M
177,M
178,M
161,M
165,M
178,M
206,M
178,M
187,M
180,M
181,M
174,M
169,M
169,M
197,M
168,M
160,M
161,M
177,M
179,M
165,M
179,M
187,M
164,M
166,M
181,M
190,M
157,M
175,M
178,M
167,M
182,M
188,M
172,M
159,M
167,M
186,M
191,M
172,M
175,M
164,M
174,M
178,M
181,M
174,M
200,M
187,M
177,M
168,M
182,M
154,M
175,M
196,M
167,M
175,M
179,M
170,M
183,M
186,M
171,M
183,M
