year,stratum,catchnum,catchwt,numspp,depth,temp
1974,1,806,93.9,16,15,15.4
1974,1,520,51.7,11,18,15.3
1974,1,476,73.4,18,19,15.5
1974,2,36,18.1,10,26,14
1974,1,88,45.8,11,15,13.6
1974,2,153,56.7,7,20,13.8
1974,2,34,40.8,4,26,14
1974,3,2,0.5,1,38,15.3
1974,2,68,31.8,8,24,13.5
1974,1,469,50.3,16,14,14.6
1974,1,953,42.2,14,16,15.2
1974,2,158,37.2,8,26,14.3
1974,3,31,20,10,53,14.3
1974,4,37,10.4,6,74,13.1
1974,5,90,2.7,6,134,14.5
1974,4,52,5,8,97,12.8
1974,6,5,0.5,4,242,13
1974,6,182,6.4,13,223,13
1974,4,28,5.4,7,99,19.2
1974,5,800,108.4,4,145,19
1974,6,124,17.7,10,322,22.5
1974,5,8,6.4,3,119,14.8
1974,3,12,3.6,5,55,16.7
1974,3,36,7.7,8,40,16.4
1974,3,61,10,10,33,13.2
1974,2,129,28.1,10,23,17.1
1974,1,184,36.3,11,17,17.1
1974,1,1004,88.5,12,16,15.4
1974,1,40,38.6,10,17,15.5
1974,1,361,56.7,10,15,14.7
1974,2,31,17.7,7,27,16
1974,2,385,71.2,12,22,16.3
1974,2,29,26.8,9,27,16.6
1974,1,189,86.6,9,17,18.3
1974,1,473,89.8,17,19,18.4
1974,3,53,29.9,10,35,16.5
1974,3,42,10,8,30,16.6
1974,3,34,20.4,8,35,16.7
1974,3,73,33.1,12,38,15.8
1974,2,95,12.7,12,27,16.4
1974,2,56,26.8,10,28,16.2
1974,2,49,17.7,8,24,15.6
1974,1,887,31.3,10,10,15.6
1975,1,243,68,10,10,16.5
1975,1,584,131.1,18,16,18.2
1975,1,531,106.6,13,9,15.9
1975,1,147,37.6,18,19,17.8
1975,2,289,86.2,18,24,17.6
1975,2,312,74.8,18,26,17.8
1975,2,339,114.8,16,22,17.8
1975,1,1124,264,14,15,17.2
1975,1,572,90.3,16,18,16.3
1975,1,249,122.9,10,18,16.6
1975,2,74,79.9,9,23,17.7
1975,2,107,105.7,10,21,17.6
1975,1,260,99.8,13,17,15.3
1975,1,752,136.1,17,15,16.7
1975,2,204,195,13,25,-99
1975,3,117,51.3,10,38,16
1975,2,707,372.9,12,25,15.9
1975,3,177,59,17,46,15.7
1975,1,416,117.5,18,18,13.5
1975,3,70,28.6,7,55,16.5
1975,3,69,31.8,7,55,16
1975,3,222,56.2,9,41,15
1975,3,99,20.4,16,33,17.5
1975,3,56,15,14,37,16.6
1975,3,50,10.9,10,41,16.6
1975,3,329,20,9,46,16.7
1975,3,56,15.4,7,48,16.6
1975,3,18,4.5,4,54,16.7
1975,4,87,30.4,12,58,16.1
1975,3,312,122,10,54,15.7
1975,4,183,68,10,57,15.7
1975,4,122,48.5,10,68,15.4
1975,6,135,30.4,11,264,13.8
1975,5,149,25.4,11,113,16.9
1975,4,428,72.6,10,99,17.5
1975,4,245,82.1,11,77,14.3
1975,4,205,83,11,77,15.2
1975,4,358,97.1,10,78,16.3
1975,5,117,17.2,12,125,14.8
1975,6,29,3.2,9,210,15.3
1975,6,48,2.3,11,225,18.8
1975,5,93,19.1,11,127,17.4
1975,4,201,73,7,74,16.8
1975,4,119,49.4,7,66,17
1975,4,145,50.8,9,67,16.7
1975,3,26,19.1,6,43,16.6
1975,2,86,35.4,10,24,18.3
1975,1,98,61.7,11,17,17.4
1975,1,433,137,16,17,17.3
1975,3,120,19.5,11,31,15.8
1975,2,347,73.5,19,24,-99
1975,2,511,136.1,18,21,16.4
1975,2,630,161.5,16,20,16.8
1975,1,1014,238.1,16,17,16.7
1975,2,220,104.8,15,27,16.7
1975,4,296,146.1,19,63,16.2
1975,4,410,157.9,16,57,16
1975,4,299,134.7,17,71,15.6
1975,3,73,28.1,14,38,15.9
1975,2,76,32.7,11,26,15.9
1975,2,67,29,15,24,16.5
1975,2,41,33.1,11,28,16.5
1975,2,193,117,14,25,16.9
1975,1,393,167.8,16,12,16.7